Theta,Phi,RCS(dBsm)
47.0,-36.0,-10.109476689839013
47.0,-35.0,-20.656194917679564
47.0,-34.0,-17.1983415985217
47.0,-33.0,-20.592128275149317
47.0,-32.0,-28.459903914375726
47.0,-31.0,-13.765417704183346
47.0,-30.0,-16.712189675045636
47.0,-29.0,-10.954017860637542
47.0,-28.0,-13.097053988917878
47.0,-27.0,-13.00314738540896
47.0,-26.0,-12.229248728850575
47.0,-25.0,-17.434855272591033
47.0,-24.0,-15.36937512613372
47.0,-23.0,-27.413019902607893
47.0,-22.0,-23.03964956527456
47.0,-21.0,-27.4867122992179
47.0,-20.0,-13.454969133672833
47.0,-19.0,-13.547610610756067
47.0,-18.0,-15.950309121084752
47.0,-17.0,-12.915564915953382
47.0,-16.0,-16.667399312464056
47.0,-15.0,-34.56576352665704
47.0,-14.0,-20.64303171120263
47.0,-13.0,-21.21452610690026
47.0,-12.0,-14.328503472107903
47.0,-11.0,-12.354460172037896
47.0,-10.0,-16.801889883961202
47.0,-9.0,-33.65006324256814
47.0,-8.0,-20.84309663521729
47.0,-7.0,-29.900567037025493
47.0,-6.0,-16.54558504156078
47.0,-5.0,-14.134220092838692
47.0,-4.0,-18.457685711703682
47.0,-3.0,-25.49515255937042
47.0,-2.0,-28.068655997031744
47.0,-1.0,-16.16727814022065
47.0,0.0,-12.92888317484593
47.0,1.0,-16.167278140212428
47.0,2.0,-28.068655996998064
47.0,3.0,-25.49515255937132
47.0,4.0,-18.45768571170632
47.0,5.0,-14.134220092841021
47.0,6.0,-16.545585041560965
47.0,7.0,-29.9005670370046
47.0,8.0,-20.843096635213186
47.0,9.0,-33.65006324254448
47.0,10.0,-16.80188988396114
47.0,11.0,-12.354460172033768
47.0,12.0,-14.328503472101634
47.0,13.0,-21.21452610691101
47.0,14.0,-20.643031711203346
47.0,15.0,-34.56576352657124
47.0,16.0,-16.667399312473425
47.0,17.0,-12.915564915955994
47.0,18.0,-15.950309121088067
47.0,19.0,-13.54761061075887
47.0,20.0,-13.454969133672623
47.0,21.0,-27.486712299202324
47.0,22.0,-23.03964956527701
47.0,23.0,-27.41301990262214
47.0,24.0,-15.369375126140579
47.0,25.0,-17.434855272598952
47.0,26.0,-12.229248728850967
47.0,27.0,-13.00314738541102
47.0,28.0,-13.097053988917143
47.0,29.0,-10.954017860635885
47.0,30.0,-16.71218967504447
47.0,31.0,-13.765417704181335
47.0,32.0,-28.45990391435552
47.0,33.0,-20.59212827513097
47.0,34.0,-17.198341598531634
47.0,35.0,-20.656194917685585
47.0,36.0,-10.109476689840065
47.0,37.0,-13.017035887037459
47.0,38.0,-7.46297930738514
47.0,39.0,-8.856133948784214
47.0,40.0,-6.528137168820604
47.0,41.0,-6.960796063701925
47.0,42.0,-7.712648635541593
47.0,43.0,-5.4164457025069455
47.0,44.0,-8.640274653380002
47.0,45.0,-5.128367751049094
48.0,-45.0,-8.796291146355177
48.0,-44.0,-5.613275500445508
48.0,-43.0,-9.19932364629069
48.0,-42.0,-6.210919627284495
48.0,-41.0,-7.678187525162688
48.0,-40.0,-7.587331333172638
48.0,-39.0,-6.388700680108807
48.0,-38.0,-9.243464470313002
48.0,-37.0,-7.244510577771161
48.0,-36.0,-12.160154630449556
48.0,-35.0,-9.37537792074708
48.0,-34.0,-18.19204355761274
48.0,-33.0,-15.838921479387478
48.0,-32.0,-24.45563467774837
48.0,-31.0,-34.18100064536802
48.0,-30.0,-14.871707302710762
48.0,-29.0,-17.868394962527173
48.0,-28.0,-11.79822688861166
48.0,-27.0,-14.269224020428645
48.0,-26.0,-12.777569461707927
48.0,-25.0,-11.96872153951003
48.0,-24.0,-17.933087488421883
48.0,-23.0,-15.625571057652795
48.0,-22.0,-25.81482791930028
48.0,-21.0,-25.721458417769178
48.0,-20.0,-26.07525608162907
48.0,-19.0,-13.836365997425318
48.0,-18.0,-14.224359625320949
48.0,-17.0,-16.13102462542486
48.0,-16.0,-12.744664035317966
48.0,-15.0,-17.31809962314528
48.0,-14.0,-26.724890890562936
48.0,-13.0,-19.352057383188477
48.0,-12.0,-22.122027920222422
48.0,-11.0,-13.696660627307857
48.0,-10.0,-12.9366714254515
48.0,-9.0,-19.494640104973588
48.0,-8.0,-31.916033115282904
48.0,-7.0,-25.23006515947123
48.0,-6.0,-18.244709650608865
48.0,-5.0,-17.138566673593846
48.0,-4.0,-22.77284144510555
48.0,-3.0,-19.3223112186812
48.0,-2.0,-21.305213925113588
48.0,-1.0,-22.001495533973564
48.0,0.0,-17.071193741116286
48.0,1.0,-22.00149553396022
48.0,2.0,-21.305213925134467
48.0,3.0,-19.32231121868868
48.0,4.0,-22.772841445107485
48.0,5.0,-17.138566673605574
48.0,6.0,-18.244709650620166
48.0,7.0,-25.230065159461574
48.0,8.0,-31.916033115265186
48.0,9.0,-19.494640104975197
48.0,10.0,-12.936671425451689
48.0,11.0,-13.696660627307956
48.0,12.0,-22.12202792021411
48.0,13.0,-19.352057383185898
48.0,14.0,-26.724890890563515
48.0,15.0,-17.31809962314893
48.0,16.0,-12.744664035322565
48.0,17.0,-16.131024625432374
48.0,18.0,-14.224359625319291
48.0,19.0,-13.8363659974241
48.0,20.0,-26.07525608163202
48.0,21.0,-25.721458417758058
48.0,22.0,-25.81482791930487
48.0,23.0,-15.625571057649646
48.0,24.0,-17.93308748841989
48.0,25.0,-11.96872153951408
48.0,26.0,-12.777569461708591
48.0,27.0,-14.269224020432391
48.0,28.0,-11.798226888616393
48.0,29.0,-17.86839496251746
48.0,30.0,-14.871707302705424
48.0,31.0,-34.18100064536033
48.0,32.0,-24.45563467775104
48.0,33.0,-15.8389214793866
48.0,34.0,-18.192043557620124
48.0,35.0,-9.375377920749642
48.0,36.0,-12.160154630453597
48.0,37.0,-7.244510577771487
48.0,38.0,-9.243464470309068
48.0,39.0,-6.388700680107213
48.0,40.0,-7.587331333173461
48.0,41.0,-7.678187525160557
48.0,42.0,-6.210919627283666
48.0,43.0,-9.199323646289745
48.0,44.0,-5.613275500448354
48.0,45.0,-8.79629114635457
49.0,-45.0,-8.106418198412166
49.0,-44.0,-10.107400237426567
49.0,-43.0,-6.221784033851111
49.0,-42.0,-9.724167080315917
49.0,-41.0,-7.150480742413867
49.0,-40.0,-7.687049054296504
49.0,-39.0,-8.287454704936904
49.0,-38.0,-6.478735080285624
49.0,-37.0,-9.723789209012487
49.0,-36.0,-7.145050294623903
49.0,-35.0,-11.416394928043301
49.0,-34.0,-9.038355036098741
49.0,-33.0,-16.727343112714113
49.0,-32.0,-14.68379198226339
49.0,-31.0,-27.600619556729576
49.0,-30.0,-27.870657323618325
49.0,-29.0,-15.814199995863712
49.0,-28.0,-19.664307659158794
49.0,-27.0,-12.882875461347547
49.0,-26.0,-14.853836061243033
49.0,-25.0,-12.75315467937078
49.0,-24.0,-12.204234254030922
