Theta,Phi,RCS(dBsm)
48.0,-23.0,-17.387215568044528
48.0,-22.0,-25.234554146324445
48.0,-21.0,-22.582344615825637
48.0,-20.0,-18.159436256675484
48.0,-19.0,-15.835067692959369
48.0,-18.0,-13.521717588417221
48.0,-17.0,-14.29813853481354
48.0,-16.0,-17.27654996978797
48.0,-15.0,-22.871965467486987
48.0,-14.0,-58.02842356232364
48.0,-13.0,-22.891856384713364
48.0,-12.0,-17.479664281049313
48.0,-11.0,-16.234814258701363
48.0,-10.0,-17.829573526476892
48.0,-9.0,-20.124872938311775
48.0,-8.0,-24.46687522759693
48.0,-7.0,-23.99599911120767
48.0,-6.0,-18.150803325842222
48.0,-5.0,-18.558149884043996
48.0,-4.0,-22.29572213431102
48.0,-3.0,-21.5975795182964
48.0,-2.0,-24.019607058784437
48.0,-1.0,-23.120573597535778
48.0,0.0,-19.904885511440195
48.0,1.0,-23.120573597538435
48.0,2.0,-24.019607058821755
48.0,3.0,-21.59757951831624
48.0,4.0,-22.29572213431315
48.0,5.0,-18.55814988403714
48.0,6.0,-18.150803325831856
48.0,7.0,-23.995999111197147
48.0,8.0,-24.466875227650256
48.0,9.0,-20.12487293834348
48.0,10.0,-17.829573526479294
48.0,11.0,-16.2348142586851
48.0,12.0,-17.479664281034992
48.0,13.0,-22.891856384711385
48.0,14.0,-58.02842356561598
48.0,15.0,-22.871965467593665
48.0,16.0,-17.27654996981294
48.0,17.0,-14.298138534798694
48.0,18.0,-13.521717588410196
48.0,19.0,-15.835067692957026
48.0,20.0,-18.159436256621667
48.0,21.0,-22.58234461574009
48.0,22.0,-25.2345541462635
48.0,23.0,-17.387215568017364
48.0,24.0,-14.60173617053872
48.0,25.0,-12.024457583397616
48.0,26.0,-11.47370549958297
48.0,27.0,-10.767261907038355
48.0,28.0,-13.276049934196926
48.0,29.0,-14.760728989031824
48.0,30.0,-19.50967860039655
48.0,31.0,-27.205154216575206
48.0,32.0,-22.470780119986813
48.0,33.0,-17.21213594975943
48.0,34.0,-13.154925423817179
48.0,35.0,-11.71063047359334
48.0,36.0,-9.036434905006818
48.0,37.0,-8.42465048728652
48.0,38.0,-7.059033046381802
48.0,39.0,-7.202783147294735
48.0,40.0,-6.263132974998303
48.0,41.0,-5.9177252112917405
48.0,42.0,-5.920980119463637
48.0,43.0,-5.555035795125179
48.0,44.0,-6.367505928832685
